project,file,function,start_line,end_line,nloc,cyclomatic,params
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::releaseStringValue,181,186,5,2,2
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::releasePrefixedStringValue,188,188,1,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::releaseStringValue,189,189,1,1,2
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Exception::Exception,209,209,1,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Exception::what,211,211,1,1,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::RuntimeError::RuntimeError,212,212,1,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::LogicError::LogicError,213,213,1,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::throwRuntimeError,214,216,3,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::throwLogicError,217,219,3,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::throwRuntimeError,221,224,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::throwLogicError,225,228,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::CZString,242,242,1,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::CZString,244,250,6,1,3
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::CZString,252,266,15,5,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::CZString,268,271,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::~CZString,273,281,6,3,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::swap,283,286,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::operator =,288,292,5,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::operator =,294,299,6,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::operator <,301,316,14,5,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::operator ==,318,330,11,4,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::index,332,332,1,1,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::data,335,335,1,1,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::length,336,336,1,1,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::CZString::isStaticString,337,339,3,1,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,353,380,27,9,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,382,385,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,387,390,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,392,395,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,396,399,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,402,405,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,407,413,7,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,415,419,5,1,2
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,421,425,5,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,428,432,5,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,435,438,4,1,1
